article,total_qty,total_cost,n_requests,famille,daily_demand,forecast_qty,forecast_cost
Bombe de peinture noir matte,14.0,602.0,5,PEINTURE,0.014613778705636743,1.3152400835073068,56.55532359081419
Panneau sandwich 600x60x40 MEDHUB,30.0,600.0,3,MECANIQUE,0.031315240083507306,2.8183716075156577,56.36743215031316
Charnière porte coupe feu,60.0,600.0,2,MENUISERIE,0.06263048016701461,5.6367432150313155,56.36743215031316
"Batterie NP7-12 12V,7.0Ah / C20",3.0,600.0,1,ELECTRICITE,0.003131524008350731,0.2818371607515658,56.36743215031316
Câble galvanisé MEDHUB,50.0,600.0,1,ELECTRICITE,0.05219206680584551,4.697286012526096,56.36743215031315
lampe LED B22,59.0,590.0,24,ELECTRICITE,0.061586638830897704,5.542797494780793,55.42797494780793
Panel LED encastré rond à 24W 6500 K,59.0,590.0,14,ELECTRICITE,0.061586638830897704,5.542797494780793,55.42797494780793
Manchon à sertir en aluminium ,31.0,589.0,5,ELECTROMECANIQUE,0.032359081419624215,2.9123173277661794,55.33402922755741
La graisse à base de lithium EP2,117.0,585.0,6,DIVERS,0.12212943632567849,10.991649269311065,54.95824634655533
Vis auto-perceuse DIN-7504-K ,190.0,570.0,3,ELECTROMECANIQUE,0.19832985386221294,17.849686847599166,53.5490605427975
Fourniture disjoncteur magnétothermique 40A,1.0,560.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,52.60960334029227
Barrette 4mm²   MEDHUB,8.0,560.0,3,ELECTRICITE,0.008350730688935281,0.7515657620041752,52.60960334029227
Boite de sol Inox,111.0,555.0,1,ELECTRICITE,0.11586638830897704,10.427974947807934,52.13987473903967
Flexible M-F 1/2*3/8,25.0,550.0,9,PLOMBERIE,0.026096033402922755,2.348643006263048,51.67014613778706
Raccord retube femelle 16*1/2,13.0,546.0,4,PLOMBERIE,0.013569937369519834,1.221294363256785,51.29436325678497
Y pvc Ø110,34.0,544.0,4,PLOMBERIE,0.03549060542797495,3.1941544885177455,51.10647181628393
Fourniture de conduite en PVC Ø75MM,18.0,540.0,2,PLOMBERIE,0.018789144050104383,1.6910229645093944,50.73068893528183
Robinet cuisine mitigeur (Vasque) MEDHUB,18.0,540.0,2,PLOMBERIE,0.018789144050104383,1.6910229645093944,50.73068893528183
Prise de courant apparent IP55 2P+T,53.0,530.0,25,ELECTRICITE,0.055323590814196244,4.979123173277662,49.79123173277662
Filtre à huile réf : LF l6015 (Cummins 110KVA).,1.0,530.0,1,HYDRAULIQUE,0.0010438413361169101,0.0939457202505219,49.79123173277661
Interrupteur simple allumage étanche apparent,24.0,528.0,19,ELECTRICITE,0.025052192066805846,2.2546972860125263,49.603340292275576
Brique rouge,515.0,515.0,2,CONSTRUCTION,0.5375782881002088,48.382045929018794,48.382045929018794
Coude pvc  Ø110/87°,32.0,512.0,8,PLOMBERIE,0.033402922755741124,3.006263048016701,48.100208768267215
Paumelle aluminium MEDHUB,4.0,512.0,2,MENUISERIE,0.0041753653444676405,0.3757828810020876,48.100208768267215
Plaque de signalisation sanitaire,34.0,510.0,1,PLOMBERIE,0.03549060542797495,3.1941544885177455,47.91231732776618
Tube 110 PEHD HP,51.0,510.0,3,PLOMBERIE,0.05323590814196242,4.791231732776618,47.912317327766175
Filtre à huile réf :1R-0739 (DEUTZ).,1.0,510.0,1,HYDRAULIQUE,0.0010438413361169101,0.0939457202505219,47.912317327766175
"Cuivre avec arma Flex 3/4, 3/8 rouleau 20m MEDHUB",10.0,500.0,4,CLIMATISATION,0.010438413361169102,0.9394572025052192,46.972860125260965
Vanne polyéthylène Ø 63,10.0,500.0,3,PLOMBERIE,0.010438413361169102,0.9394572025052192,46.972860125260965
Cosse a sertir 25-50MM T6,20.0,500.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,46.972860125260965
Sèche main automatique Inox MEDHUB,5.0,500.0,4,PLOMBERIE,0.005219206680584551,0.4697286012526096,46.972860125260965
Joint d'étanchéité bas pour portes sectionnelle,50.0,500.0,1,ELECTROMECANIQUE,0.05219206680584551,4.697286012526096,46.97286012526096
Douille E40,50.0,500.0,1,ELECTRICITE,0.05219206680584551,4.697286012526096,46.97286012526096
Prolongateur industriel 3P+N+T 32A,50.0,500.0,1,ELECTRICITE,0.05219206680584551,4.697286012526096,46.97286012526096
Bouchon  110 PVC HP,50.0,500.0,2,PLOMBERIE,0.05219206680584551,4.697286012526096,46.97286012526096
Fiche mâle mobile 2P+T 32A,50.0,500.0,3,ELECTRICITE,0.05219206680584551,4.697286012526096,46.97286012526096
Fiche mâle mobile 3P+N+T 32A,50.0,500.0,1,ELECTRICITE,0.05219206680584551,4.697286012526096,46.97286012526096
Bois TEC hydrofuge,50.0,500.0,1,MENUISERIE,0.05219206680584551,4.697286012526096,46.97286012526096
Vanne double union PPR 63,50.0,500.0,1,PLOMBERIE,0.05219206680584551,4.697286012526096,46.97286012526096
Vanne double union PPR 32,50.0,500.0,1,PLOMBERIE,0.05219206680584551,4.697286012526096,46.97286012526096
Vanne d'arrêt PPR 63,50.0,500.0,1,PLOMBERIE,0.05219206680584551,4.697286012526096,46.97286012526096
Prolongateur industriel 2P+T 32A,50.0,500.0,1,ELECTRICITE,0.05219206680584551,4.697286012526096,46.97286012526096
Cosse à sertir,100.0,500.0,2,ELECTRICITE,0.10438413361169102,9.394572025052192,46.97286012526096
Vanne d'arrêt PPR 32,50.0,500.0,1,PLOMBERIE,0.05219206680584551,4.697286012526096,46.97286012526096
Joint d'étanchéité bas pour porte issue de secours,50.0,500.0,1,ELECTROMECANIQUE,0.05219206680584551,4.697286012526096,46.97286012526096
split 18000 complet MEDHUB,1.0,500.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,46.97286012526095
Teinte de peinture vinylique bleu,41.0,492.0,12,PEINTURE,0.04279749478079332,3.8517745302713986,46.22129436325678
Cheville metallique Ø 12,241.0,482.0,24,DIVERS,0.25156576200417535,22.640918580375782,45.281837160751564
"Collier de serrage 7,6X340mm 100PCS MEDHUB",12.0,480.0,3,DIVERS,0.012526096033402923,1.1273486430062631,45.093945720250524
Roulette petite axe de porte sectionnelle,3.0,480.0,2,MECANIQUE,0.003131524008350731,0.2818371607515658,45.093945720250524
Ballast 12 v 250 w YF,2.0,480.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,45.09394572025052
Coude 45 40 PVC HP,14.0,476.0,5,PLOMBERIE,0.014613778705636743,1.3152400835073068,44.71816283924843
Raccord polyéthylène Ø63,19.0,475.0,2,PLOMBERIE,0.019832985386221295,1.7849686847599167,44.62421711899792
Manomètre de pression de Circuite hydraulique de PAC,3.0,471.0,2,CLIMATISATION,0.003131524008350731,0.2818371607515658,44.24843423799583
Détecteur de mouvement encastré,46.0,460.0,5,ELECTRICITE,0.04801670146137787,4.3215031315240084,43.21503131524008
Colliers de serrage noir 2.5X200M (100 pcs),23.0,460.0,4,INCENDIE,0.024008350730688934,2.1607515657620042,43.21503131524008
Fin de course,12.0,450.0,7,MECANIQUE,0.012526096033402923,1.1273486430062631,42.275574112734866
Coude pvc  Ø110/45°,30.0,450.0,9,PLOMBERIE,0.031315240083507306,2.8183716075156577,42.275574112734866
Prise de courant complet plinthes,90.0,450.0,2,ELECTRICITE,0.09394572025052192,8.455114822546973,42.275574112734866
"Cuivre avec arma Flex 3/8, 1/4 rouleau 20m MEDHUB",9.0,450.0,3,CLIMATISATION,0.009394572025052192,0.8455114822546972,42.27557411273486
Roue de portail-FORTE CHARGE 350KG,1.0,450.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,42.27557411273486
Goulotte autocolant,8.0,448.0,1,ELECTRICITE,0.008350730688935281,0.7515657620041752,42.08768267223381
Selecteur a clé,8.0,448.0,6,ELECTRICITE,0.008350730688935281,0.7515657620041752,42.08768267223381
Fiche prise 2P+T 16A industrielle souple male marque famatel,17.0,442.0,9,ELECTRICITE,0.017745302713987474,1.5970772442588728,41.52400835073069
Cosse a sertir STD 25MM,20.0,440.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,41.33611691022965
"Collier de serrage 4,7X370mm 100PCS MEDHUB",11.0,440.0,4,DIVERS,0.011482254697286013,1.033402922755741,41.33611691022964
Robinet col de signe,2.0,440.0,2,PLOMBERIE,0.0020876826722338203,0.1878914405010438,41.33611691022964
Scotch aluminium haut température,5.0,435.0,1,CLIMATISATION,0.005219206680584551,0.4697286012526096,40.86638830897704
Culotte  110 PVC HP,5.0,435.0,3,PLOMBERIE,0.005219206680584551,0.4697286012526096,40.86638830897704
Colle bois,6.0,432.0,6,MENUISERIE,0.006263048016701462,0.5636743215031316,40.58455114822547
Boite étanche 240*180 MEDHUB,86.0,430.0,5,ELECTRICITE,0.08977035490605428,8.079331941544886,40.39665970772443
Horloge mécanique,33.0,429.0,4,ELECTRICITE,0.03444676409185804,3.1002087682672235,40.30271398747391
Cosse 35,61.0,427.0,6,ELECTRICITE,0.06367432150313153,5.7306889352818375,40.11482254697286
Gond à vis epiton rond,141.0,423.0,10,DIVERS,0.14718162839248433,13.24634655532359,39.73903966597077
Aérosol dégrippant MEDHUB,3.0,420.0,1,DIVERS,0.003131524008350731,0.2818371607515658,39.45720250521921
Robinet cuisine mitigeur (Vasque),14.0,420.0,6,PLOMBERIE,0.014613778705636743,1.3152400835073068,39.45720250521921
Lampe LED flamme E14 3000K,70.0,420.0,1,ELECTRICITE,0.07306889352818371,6.576200417536534,39.45720250521921
Serrure porte BOIS TMSA,1.0,420.0,1,MENUISERIE,0.0010438413361169101,0.0939457202505219,39.4572025052192
Relais FINDER type 44.62S 10A 250V,2.0,420.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,39.4572025052192
Lampe LED B22 15W 6500K MEDHUB,41.0,410.0,12,ELECTRICITE,0.04279749478079332,3.8517745302713986,38.51774530271398
ECROUS Ø14,204.0,408.0,3,DIVERS,0.21294363256784968,19.16492693110647,38.32985386221294
Serrure de milieu sans béquille avec barillet SEVAX,20.0,400.0,1,MENUISERIE,0.020876826722338204,1.8789144050104385,37.578288100208766
Panneau sandwich 600x60x40,20.0,400.0,1,MECANIQUE,0.020876826722338204,1.8789144050104385,37.578288100208766
Cadenas ,200.0,400.0,6,DIVERS,0.20876826722338204,18.789144050104383,37.578288100208766
Plaque + Support plinthes,80.0,400.0,1,ELECTRICITE,0.08350730688935282,7.515657620041754,37.578288100208766
Film sablé rouleau 30m MEDHUB,40.0,400.0,2,DIVERS,0.04175365344467641,3.757828810020877,37.578288100208766
"Tambour de porte sectionnelle  (Ensemble: Gauche/Droit)""",20.0,400.0,1,MECANIQUE,0.020876826722338204,1.8789144050104385,37.578288100208766
Tambour de porte sectionnelle  (Ensemble: Gauche/Droit) MEDHUB,20.0,400.0,2,MECANIQUE,0.020876826722338204,1.8789144050104385,37.578288100208766
Lampe T8 / 120cm 36W,50.0,400.0,1,ELECTRICITE,0.05219206680584551,4.697286012526096,37.578288100208766
Manchon a sertir 16MM,20.0,400.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,37.578288100208766
Tige fileté 1m 6 8 ET 10 Ø,16.0,400.0,2,DIVERS,0.016701461377870562,1.5031315240083505,37.57828810020876
Disjoncteur différentiel 2P*63A,2.0,400.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,37.57828810020876
Teinte de peinture laque vert,33.0,396.0,3,PEINTURE,0.03444676409185804,3.1002087682672235,37.202505219206685
Anti gel 50% MEDHUB,70.0,395.5,3,MECANIQUE,0.07306889352818371,6.576200417536534,37.15553235908142
Cuivre de clim 3/8,6.0,390.0,1,CLIMATISATION,0.006263048016701462,0.5636743215031316,36.63883089770355
Condensateur 35 µf,10.0,390.0,8,CLIMATISATION,0.010438413361169102,0.9394572025052192,36.63883089770355
Té 40 PEHD HP,8.0,384.0,3,PLOMBERIE,0.008350730688935281,0.7515657620041752,36.07515657620041
Cable porte sectionnelle,32.0,384.0,3,MECANIQUE,0.033402922755741124,3.006263048016701,36.07515657620041
Thermomètre de Circuite hydraulique de PAC,1.0,383.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,35.98121085594989
Réduction 40/32 double sortie PEHD,38.0,380.0,8,PLOMBERIE,0.03966597077244259,3.5699373695198333,35.69937369519833
Plinthe 100x45,75.0,375.0,6,ELECTRICITE,0.07828810020876827,7.045929018789144,35.22964509394572
Flexible sanitaire Ø 12mm Femelle Femelle 1/2 3/8,17.0,374.0,15,PLOMBERIE,0.017745302713987474,1.5970772442588728,35.1356993736952
Led panel 3 w rond,16.0,368.0,8,ELECTRICITE,0.016701461377870562,1.5031315240083505,34.57202505219206
Boite étanche 210*170*80,12.0,360.0,9,ELECTRICITE,0.012526096033402923,1.1273486430062631,33.82045929018789
SIKA FLEX ,6.0,360.0,1,CONSTRUCTION,0.006263048016701462,0.5636743215031316,33.82045929018789
Tube LED (t8) 9W 6500K,3.0,360.0,1,ELECTRICITE,0.003131524008350731,0.2818371607515658,33.82045929018789
Manchon a sertir 10MM,20.0,360.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,33.82045929018789
"Câble souple 3x2,5mm²",20.0,360.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,33.82045929018789
Disjoncteur divisionnaire 63 A 4 pôles 380V,36.0,360.0,2,ELECTRICITE,0.037578288100208766,3.3820459290187888,33.820459290187884
Kit douchette WC avec accessoires	,1.0,360.0,1,PLOMBERIE,0.0010438413361169101,0.0939457202505219,33.820459290187884
Vis hexagon socket head cap screw Ø 6,179.0,358.0,2,DIVERS,0.18684759916492694,16.816283924843425,33.63256784968685
Câble en acier de diamètre 4mm,70.0,350.0,7,MECANIQUE,0.07306889352818371,6.576200417536534,32.881002087682674
Coude 90 75 PEHD HP,35.0,350.0,2,PLOMBERIE,0.03653444676409186,3.288100208768267,32.881002087682674
Fusible modulaire compact 4 pôle 20 A,50.0,350.0,2,ELECTRICITE,0.05219206680584551,4.697286012526096,32.881002087682674
Fusible miniature corps céramique 5X20  16 A 220V,50.0,350.0,2,ELECTRICITE,0.05219206680584551,4.697286012526096,32.881002087682674
Porte fusible modulaire compact 4 pôles 22X58,50.0,350.0,2,ELECTRICITE,0.05219206680584551,4.697286012526096,32.881002087682674
Disjoncteur divisionnaire 25 A 4 pôles 380V,34.0,340.0,6,ELECTRICITE,0.03549060542797495,3.1941544885177455,31.941544885177457
Collecteur avec robinet TRIO,68.0,340.0,3,PLOMBERIE,0.0709812108559499,6.388308977035491,31.941544885177457
Chauffeau électrique instantané,17.0,340.0,13,PLOMBERIE,0.017745302713987474,1.5970772442588728,31.941544885177457
Peinture laque 5 KG vert,2.0,340.0,1,PEINTURE,0.0020876826722338203,0.1878914405010438,31.941544885177446
peinture laque 5 kg jaune,2.0,340.0,2,PEINTURE,0.0020876826722338203,0.1878914405010438,31.941544885177446
Ecrou de boulon M8,336.0,336.0,6,DIVERS,0.35073068893528186,31.56576200417537,31.56576200417537
scotch noir électrique,60.0,330.0,34,ELECTRICITE,0.06263048016701461,5.6367432150313155,31.002087682672236
Goupille de porte sectionnelle,11.0,330.0,2,MECANIQUE,0.011482254697286013,1.033402922755741,31.002087682672233
Barrette de connexion,33.0,330.0,9,ELECTRICITE,0.03444676409185804,3.1002087682672235,31.002087682672233
Coude polyéthylène Ø20 MAL,13.0,325.0,8,PLOMBERIE,0.013569937369519834,1.221294363256785,30.532359081419624
ECROUS Ø10,268.0,321.6,6,DIVERS,0.2797494780793319,25.177453027139872,30.21294363256785
Cosse a sertir 16MM T6,20.0,320.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,30.062630480167016
Cosse a sertir STD 16MM,20.0,320.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,30.062630480167016
Flexible sanitaire MF 1/2X1/2,16.0,320.0,13,PLOMBERIE,0.016701461377870562,1.5031315240083505,30.06263048016701
Réduction 110/100 double sortie PEHD,32.0,320.0,5,PLOMBERIE,0.033402922755741124,3.006263048016701,30.06263048016701
"Barrette de connexion 2,5mm",49.0,318.5,22,ELECTRICITE,0.0511482254697286,4.603340292275574,29.92171189979123
ECROUS Ø8,510.0,306.0,12,DIVERS,0.5323590814196242,47.912317327766175,28.747390396659704
Lavabo Vasque,10.0,300.0,1,PLOMBERIE,0.010438413361169102,0.9394572025052192,28.18371607515658
"Vis à tôle TF PO21 acier inoxydable 5,5X60 100PCS",15.0,300.0,3,MENUISERIE,0.015657620041753653,1.4091858037578289,28.18371607515658
Disjoncteur différentiel 63 A 300mA 4 Pôles 380V,30.0,300.0,2,ELECTRICITE,0.031315240083507306,2.8183716075156577,28.18371607515658
Vanne double raccord 110 PEHD HP,30.0,300.0,1,PLOMBERIE,0.031315240083507306,2.8183716075156577,28.18371607515658
Bornier sur rail 16mm² onka ,20.0,300.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,28.18371607515658
Vanne double raccord 40 PVC HP,30.0,300.0,1,PLOMBERIE,0.031315240083507306,2.8183716075156577,28.18371607515658
"Câble U1000R2V 3G1,5",100.0,300.0,1,ELECTRICITE,0.10438413361169102,9.394572025052192,28.183716075156575
Condensateur courant 50 Uf MEDHUB,1.0,300.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,28.18371607515657
Charnière en acier de 3 mm d'épaisseur,1.0,300.0,1,MECANIQUE,0.0010438413361169101,0.0939457202505219,28.18371607515657
Starter S2 PHILPS MEDHUB,4.0,300.0,1,ELECTRICITE,0.0041753653444676405,0.3757828810020876,28.18371607515657
Prise monophasé femelle 16A 2P+T - 3 broches,4.0,300.0,1,ELECTRICITE,0.0041753653444676405,0.3757828810020876,28.18371607515657
Coude pvc  Ø100/90°,33.0,297.0,8,PLOMBERIE,0.03444676409185804,3.1002087682672235,27.90187891440501
Ecrous Ø16mm,128.0,281.6,4,DIVERS,0.1336116910229645,12.025052192066804,26.45511482254697
Cosse a sertir STD 10MM T6,20.0,280.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,26.30480167014614
collier de serrage,7.0,280.0,4,DIVERS,0.007306889352818371,0.6576200417536534,26.304801670146137
Compresseur 18000,14.0,280.0,1,CLIMATISATION,0.014613778705636743,1.3152400835073068,26.304801670146137
Rouleau filtre G4 MEDHUB,14.0,280.0,4,CLIMATISATION,0.014613778705636743,1.3152400835073068,26.304801670146137
Bouchon 110 PVC HP,28.0,280.0,5,PLOMBERIE,0.029227557411273485,2.6304801670146136,26.304801670146137
Lampe T5 / 120cm,35.0,280.0,7,ELECTRICITE,0.03653444676409186,3.288100208768267,26.304801670146137
Condensateur 45 µf,5.0,275.0,2,CLIMATISATION,0.005219206680584551,0.4697286012526096,25.83507306889353
Vis autoperseurse ,1363.0,272.6,44,DIVERS,1.4227557411273486,128.04801670146136,25.609603340292274
Retube Ø16,17.0,272.0,2,PLOMBERIE,0.017745302713987474,1.5970772442588728,25.553235908141964
Huile 15W40 MEDHUB,50.0,267.5,1,HYDRAULIQUE,0.05219206680584551,4.697286012526096,25.13048016701461
Vanne double raccord 40 PEHD HP,26.0,260.0,2,PLOMBERIE,0.027139874739039668,2.44258872651357,24.4258872651357
Coude retube femelle 16*1/2,5.0,260.0,3,PLOMBERIE,0.005219206680584551,0.4697286012526096,24.4258872651357
Compresseur 24000,13.0,260.0,1,CLIMATISATION,0.013569937369519834,1.221294363256785,24.4258872651357
Armaflex bande d'isolation autoadhésif,1.0,260.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,24.425887265135696
Prise de courant encastré IP55 2P+T,37.0,259.0,12,ELECTRICITE,0.038622129436325675,3.475991649269311,24.331941544885176
Siphon plastique Ø32,6.0,258.0,3,PLOMBERIE,0.006263048016701462,0.5636743215031316,24.23799582463466
Condensateur de démarrage de 35 µf ,8.0,256.0,7,CLIMATISATION,0.008350730688935281,0.7515657620041752,24.050104384133608
kit de fixation de robinet de lavabo,21.0,252.0,16,PLOMBERIE,0.021920668058455117,1.9728601252609606,23.674321503131527
TUBE MULTICOUCHE RETUBE MEDHUB,25.0,250.0,1,PLOMBERIE,0.026096033402922755,2.348643006263048,23.48643006263048
Anti Algue,25.0,250.0,1,MECANIQUE,0.026096033402922755,2.348643006263048,23.48643006263048
Cordon Adaptateur RGB HK117,1.0,250.0,1,ELECTRONIQUE,0.0010438413361169101,0.0939457202505219,23.486430062630475
Barrette  100PCS 16mm²,24.0,240.0,10,ELECTRICITE,0.025052192066805846,2.2546972860125263,22.546972860125262
Tube carrée 40X40 6M,20.0,240.0,1,DIVERS,0.020876826722338204,1.8789144050104385,22.546972860125262
Cheville métalique Ø16mm,120.0,240.0,5,DIVERS,0.12526096033402923,11.273486430062631,22.546972860125262
Cornière 40/40 6M,20.0,240.0,1,DIVERS,0.020876826722338204,1.8789144050104385,22.546972860125262
Cosse a sertir 10MM T6,20.0,240.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,22.546972860125262
Colle pour carrelage,200.0,240.0,2,PEINTURE,0.20876826722338204,18.789144050104383,22.54697286012526
Fourniture d'un répartiteur tétrapolaire 63A,2.0,240.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,22.54697286012526
SIKA LATEX,4.0,240.0,1,CONSTRUCTION,0.0041753653444676405,0.3757828810020876,22.54697286012526
Boitier de commande a trois boutons,1.0,236.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,22.17118997912317
Coude pvc  Ø50/45°,18.0,234.0,11,PLOMBERIE,0.018789144050104383,1.6910229645093944,21.983298538622126
Disjoncteur divisionnaire 32A 2 pôles 220V,23.0,230.0,3,ELECTRICITE,0.024008350730688934,2.1607515657620042,21.60751565762004
Condensateur 06 µf,12.0,228.0,10,CLIMATISATION,0.012526096033402923,1.1273486430062631,21.419624217119
Raccord polyéthylène Ø40,15.0,225.0,5,PLOMBERIE,0.015657620041753653,1.4091858037578289,21.137787056367433
Coude polyéthylène Ø20 EGAL,9.0,225.0,5,PLOMBERIE,0.009394572025052192,0.8455114822546972,21.13778705636743
Acide sulferique,28.0,224.0,1,PLOMBERIE,0.029227557411273485,2.6304801670146136,21.04384133611691
Tube 40 PVC HP,37.0,222.0,3,PLOMBERIE,0.038622129436325675,3.475991649269311,20.855949895615865
Coude pvc  Ø100/45°,17.0,221.0,7,PLOMBERIE,0.017745302713987474,1.5970772442588728,20.762004175365345
Kit douche complet,1.0,220.0,1,PLOMBERIE,0.0010438413361169101,0.0939457202505219,20.66805845511482
Bouchon  110 PEHD HP,22.0,220.0,1,PLOMBERIE,0.022964509394572025,2.066805845511482,20.66805845511482
Condensateur 40 µf,4.0,220.0,4,CLIMATISATION,0.0041753653444676405,0.3757828810020876,20.66805845511482
Disjoncteur différentiel 63 A 300mA Bipôle 220V,22.0,220.0,2,ELECTRICITE,0.022964509394572025,2.066805845511482,20.66805845511482
Rondelle Ø16mm,218.0,218.0,9,DIVERS,0.22755741127348644,20.48016701461378,20.48016701461378
Cheville metallique Ø 8,216.0,216.0,5,DIVERS,0.2254697286012526,20.292275574112736,20.292275574112736
Soupape de pression,18.0,216.0,5,CLIMATISATION,0.018789144050104383,1.6910229645093944,20.292275574112733
Raccord union égale,21.0,210.0,8,PLOMBERIE,0.021920668058455117,1.9728601252609606,19.728601252609607
Barrette 100PCS 4mm²,3.0,210.0,3,ELECTRICITE,0.003131524008350731,0.2818371607515658,19.728601252609604
Porte fusible modulaire compact 4 pôles 8X32,30.0,210.0,1,ELECTRICITE,0.031315240083507306,2.8183716075156577,19.728601252609604
prise tétrapolaire femelle 32A 3P+N+T - 5 broches,2.0,210.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,19.7286012526096
Bouchon PVC Ø100,23.0,207.0,11,PLOMBERIE,0.024008350730688934,2.1607515657620042,19.44676409185804
Parachute  porte sectionnelle ensemble : gauche / droit MEDHUB,35.0,206.15,3,MECANIQUE,0.03653444676409186,3.288100208768267,19.366910229645097
Revit,202.0,202.0,9,DIVERS,0.21085594989561587,18.977035490605427,18.977035490605427
Douille B22,67.0,201.0,4,ELECTRICITE,0.06993736951983298,6.294363256784968,18.883089770354903
Cheville embase,201.0,201.0,13,DIVERS,0.20981210855949894,18.883089770354903,18.883089770354903
Produit de nettoyage (champoing moquette) (20L),10.0,200.0,1,DIVERS,0.010438413361169102,0.9394572025052192,18.789144050104383
Gaz 407 13 KG,10.0,200.0,1,CLIMATISATION,0.010438413361169102,0.9394572025052192,18.789144050104383
Disjoncteur divisionnaire 25A 2 pôles 220V,20.0,200.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,18.789144050104383
Vanne double raccord 110 PVC HP,20.0,200.0,1,PLOMBERIE,0.020876826722338204,1.8789144050104385,18.789144050104383
Serre câble MEDHUB,100.0,200.0,3,MECANIQUE,0.10438413361169102,9.394572025052192,18.789144050104383
Fusible aM 50A 14X51 400V,50.0,200.0,2,ELECTRICITE,0.05219206680584551,4.697286012526096,18.789144050104383
Disjoncteur différentiel 32 A 30mA Bipôle 220V,20.0,200.0,2,ELECTRICITE,0.020876826722338204,1.8789144050104385,18.789144050104383
Disjoncteur COMPACT 63 A 400V,20.0,200.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,18.789144050104383
Vanne double raccord 75 PVC HP,20.0,200.0,1,PLOMBERIE,0.020876826722338204,1.8789144050104385,18.789144050104383
Revêtement PVC MED HUB,20.0,200.0,1,PLOMBERIE,0.020876826722338204,1.8789144050104385,18.789144050104383
Disjoncteur COMPACT 25 A 400V,20.0,200.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,18.789144050104383
Culotte  110 PEHD HP,20.0,200.0,1,PLOMBERIE,0.020876826722338204,1.8789144050104385,18.789144050104383
Coude 45 110 PEHD HP,20.0,200.0,1,PLOMBERIE,0.020876826722338204,1.8789144050104385,18.789144050104383
Arma Flex rouleau 18 50ml,10.0,200.0,1,CLIMATISATION,0.010438413361169102,0.9394572025052192,18.789144050104383
Serrure porte en métal,40.0,200.0,2,MENUISERIE,0.04175365344467641,3.757828810020877,18.789144050104383
Colliers serre cable en plastique,200.0,200.0,3,ELECTRICITE,0.20876826722338204,18.789144050104383,18.789144050104383
"Collier de serrage 3,6X300mm 100PCS MEDHUB",5.0,200.0,4,DIVERS,0.005219206680584551,0.4697286012526096,18.789144050104383
Ruban adhésif électricien (scotch) (noir-jaune-vert-rouge),20.0,200.0,3,INCENDIE,0.020876826722338204,1.8789144050104385,18.789144050104383
Arma Flex tapis m²,10.0,200.0,1,CLIMATISATION,0.010438413361169102,0.9394572025052192,18.789144050104383
Coude retube égale Ø16 égale,14.0,196.0,6,PLOMBERIE,0.014613778705636743,1.3152400835073068,18.413361169102295
Condensateur 30 µf,5.0,195.0,5,CLIMATISATION,0.005219206680584551,0.4697286012526096,18.319415448851775
Panel LED apparent rond à 18W 6500 K ,96.0,192.0,23,ELECTRICITE,0.10020876826722339,9.018789144050105,18.03757828810021
"Fusible ACR, tipo NT 1. In=125A. 500V- 50Hz. gL. 120kA",2.0,192.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,18.037578288100207
Réduction 75/40 double sortie PEHD,19.0,190.0,3,PLOMBERIE,0.019832985386221295,1.7849686847599167,17.849686847599166
Interrupteur simple allumage,17.0,187.0,16,ELECTRICITE,0.017745302713987474,1.5970772442588728,17.5678496868476
"Manchon â sertir de diamétre 16,25,35 mm2",31.0,186.0,5,ELECTRICITE,0.032359081419624215,2.9123173277661794,17.473903966597078
Cosses de batteries,8.0,184.0,4,ELECTRICITE,0.008350730688935281,0.7515657620041752,17.28601252609603
Interrupteur poussoir avec voyant,6.0,180.0,6,ELECTRICITE,0.006263048016701462,0.5636743215031316,16.910229645093946
Tube LED (T8) 18W 6500K,6.0,180.0,3,ELECTRICITE,0.006263048016701462,0.5636743215031316,16.910229645093946
